stream,year,CPUE
VAL,2003,NA
VAL,2004,NA
VAL,2005,NA
VAL,2006,NA
VAL,2007,3.52
VAL,2008,3.48
VAL,2009,7.42
VAL,2010,5.83
VAL,2011,NA
VAL,2012,6.46
VAL,2013,NA
VAL,2014,NA
VAL,2015,NA
VAL,2016,NA
VAL,2017,4.03
VAL,2018,4.98
MAR,2003,NA
MAR,2004,NA
MAR,2005,3.3
MAR,2006,NA
MAR,2007,3.23
MAR,2008,3.51
MAR,2009,NA
MAR,2010,3.3
MAR,2011,7.58
MAR,2012,NA
MAR,2013,7.65
MAR,2014,6.91
MAR,2015,6.64
MAR,2016,4.58
MAR,2017,4.63
MAR,2018,NA
CHO,2003,11
CHO,2004,8.82
CHO,2005,2.28
CHO,2006,5.11
CHO,2007,4.3
CHO,2008,NA
CHO,2009,4.06
CHO,2010,4.96
CHO,2011,NA
CHO,2012,NA
CHO,2013,5.57
CHO,2014,6.22
CHO,2015,7.8
CHO,2016,7.46
CHO,2017,7.71
CHO,2018,NA
BVA,2003,NA
BVA,2004,NA
BVA,2005,3.27
BVA,2006,2.77
BVA,2007,1.23
BVA,2008,3.7
BVA,2009,5.42
BVA,2010,3.43
BVA,2011,8.81
BVA,2012,8.7
BVA,2013,4.51
BVA,2014,3.64
BVA,2015,3.71
BVA,2016,2.92
BVA,2017,3.27
BVA,2018,4.2
ELK,2003,NA
ELK,2004,NA
ELK,2005,NA
ELK,2006,NA
ELK,2007,NA
ELK,2008,NA
ELK,2009,NA
ELK,2010,NA
ELK,2011,4.48
ELK,2012,NA
ELK,2013,5.41
ELK,2014,NA
ELK,2015,NA
ELK,2016,NA
ELK,2017,3.64
ELK,2018,NA
SFS,2003,6.8
SFS,2004,NA
SFS,2005,7.03
SFS,2006,NA
SFS,2007,NA
SFS,2008,3
SFS,2009,4.57
SFS,2010,4.26
SFS,2011,8.75
SFS,2012,4.46
SFS,2013,4.89
SFS,2014,1.95
SFS,2015,5.11
SFS,2016,4.48
SFS,2017,5.78
SFS,2018,5.65
LAK,2003,4.64
LAK,2004,4.04
LAK,2005,5.16
LAK,2006,4.59
LAK,2007,4.52
LAK,2008,3.05
LAK,2009,4.04
LAK,2010,3.77
LAK,2011,5.95
LAK,2012,5.04
LAK,2013,3.14
LAK,2014,3.26
LAK,2015,4.42
LAK,2016,3.83
LAK,2017,6.91
LAK,2018,2.79
